provincecn,provinceen,citycn,cityen,latitude,longitude,confirmedcases_26-01-2020,deaths_26-01-2020,confirmedcases_27-01-2020,deaths_27-01-2020,confirmedcases_28-01-2020,deaths_28-01-2020
河南,Henan,三门峡,Sanmenxia,34.772792,111.200367,3,0,3,0,4,0
河南,Henan,商丘,Shangqiu,34.414961,115.656339,6,0,7,0,14,0
河南,Henan,新乡,Xinxiang,35.303704,113.926763,4,0,6,0,7,0
河南,Henan,信阳,Xinyang,32.147679,114.091192,23,0,29,0,32,0
河南,Henan,许昌,Xuchang,34.035771,113.852454,1,0,2,0,2,0
河南,Henan,郑州,Zhengzhou,34.746611,113.625328,29,0,37,0,40,0
河南,Henan,周口,Zhoukou,33.626149,114.69695,11,0,15,0,19,0
河南,Henan,驻马店,Zhumadian,33.011529,114.022298,9,0,10,0,16,0
香港,Hong Kong,香港,Hong Kong,22.3193039,114.1693611,8,0,8,0,8,0
湖北,Hubei,恩施州,Enshi,30.272156,109.488172,25,0,38,0,51,0
湖北,Hubei,鄂州,Ezhou,30.39194,114.894843,20,0,57,0,84,1
湖北,Hubei,黄冈,Huanggang,30.453667,114.872199,154,4,213,4,324,5
湖北,Hubei,黄石,Huangshi,30.20002999999999,115.038835,36,1,53,1,86,1
湖北,Hubei,荆门,Jingmen,31.035395,112.199427,90,3,114,3,142,4
湖北,Hubei,荆州,Jingzhou,30.335237,112.239631,47,2,71,2,101,2
湖北,Hubei,潜江,Qianjiang,30.402167,112.899762,5,1,7,1,8,1
湖北,Hubei,十堰,Shiyan,32.629398,110.798266,40,0,65,0,88,0
湖北,Hubei,随州,Suizhou,31.690215,113.382458,52,0,70,0,116,0
湖北,Hubei,天门,Tianmen,30.653061,113.165862,13,0,23,2,34,3
湖北,Hubei,武汉,Wuhan,30.592849,114.305539,698,63,1590,85,1905,104
湖北,Hubei,襄阳,Xiangyang,32.009016,112.122426,36,0,70,0,131,0
湖北,Hubei,咸宁,Xianning,29.841438,114.322439,64,0,91,0,112,0
湖北,Hubei,仙桃,Xiantao,30.360882,113.423482,12,0,27,0,32,0
湖北,Hubei,孝感,Xiaogan,30.917766,113.957037,100,1,173,1,274,3
湖北,Hubei,宜昌,Yichang,30.691966,111.286471,31,1,51,1,63,1
湖南,Hunan,常德,Changde,29.031654,111.698784,12,0,19,0,26,0
湖南,Hunan,长沙,Changsha,28.228209,112.938814,22,0,24,0,46,0
湖南,Hunan,郴州,Chenzhou,25.770509,113.014717,6,0,7,0,7,0
湖南,Hunan,衡阳,Hengyang,26.893368,112.572018,4,0,7,0,17,0
湖南,Hunan,怀化,Huaihua,27.569517,110.001922,11,0,16,0,18,0
湖南,Hunan,娄底,Loudi,27.700062,111.993497,7,0,9,0,13,0
湖南,Hunan,邵阳,Shaoyang,27.23895,111.467674,8,0,11,0,19,0
湖南,Hunan,湘潭,Xiangtan,27.829795,112.944026,4,0,6,0,8,0
湖南,Hunan,湘西自治州,Xiangxi Tujia and Miao Autonomous Prefecture,28.312001,109.738781,3,0,3,0,3,0
湖南,Hunan,益阳,Yiyang,28.55386,112.35518,7,0,10,0,14,0
湖南,Hunan,永州,Yongzhou,26.420394,111.613445,4,0,7,0,11,0
湖南,Hunan,岳阳,Yueyang,29.356803,113.12873,7,0,17,0,26,0
